"Carimbo de data/hora","Idade (Ex: 26)","Dia e mês do aniversário (Ex: 05/10)","Gênero","Cidade de Origem","Altura em metros (Ex: 1.60)","Peso em Kg (Ex: 56)","Área com a qual mais se identifica","Já tinha tido contato com o R ou alguma outra linguagem de programação?","Dê uma nota de 0 a 10 para a sua compreensão do minicurso até agora (pode ser sincerx, não saberemos quem foi. Ex: 5)."
"2017/07/24 10:16:42 AM GMT-3","28","20/03","Feminino","São Tiago-MG","1.58","52","Biológicas","Sim","-"
"2017/07/24 10:55:12 AM GMT-3","25","01/09","Masculino","Pato Branco","1.69","82","Interdiciplinar","Sim","10"
"2017/07/24 10:55:46 AM GMT-3","-","13/02","Feminino","Montevideo","1.65","60","Biológicas","Sim","10"
"2017/07/24 11:00:44 AM GMT-3","26","24/12","Masculino","Itapetininga - SP","1.85","70","Interdiciplinar","Sim","10"
"2017/07/24 11:01:17 AM GMT-3","24","28/04","Masculino","Charqueada","1.80","60","Biológicas","Sim","5"
"2017/07/24 11:06:09 AM GMT-3","30","01/03","Masculino","Capelinha","1.77","80","Exatas","Sim","10"
"2017/07/24 11:06:23 AM GMT-3","26","15/02","Masculino","Maringá","1.72","80","Interdiciplinar","Sim","10"
"2017/07/24 11:09:39 AM GMT-3","26","10/9","Masculino","Ribeirão Preto","1.72","94","Biológicas","Sim","10"
"2017/07/24 12:57:15 PM GMT-3","26","05/10","Feminino","Piracicaba-SP","1.56","54","Interdiciplinar","Sim","-"
"2017/07/25 10:04:42 AM GMT-3","25","30/12","Masculino","Lima","1.69","59","Biológicas","Sim","9"
"2017/07/25 10:05:01 AM GMT-3","22","28/05","Masculino","Americana","1.69","50","Biológicas","Sim","8"
"2017/07/25 8:41:01 PM GMT-3","26","10/04","Masculino","Uberlândia","1.94","100","Biológicas","Sim","9"
"2017/07/26 8:05:45 AM GMT-3","20","24/09","Feminino","Carlos Chagas - MG","1.63","58","Biológicas","Sim","10"
"2017/07/26 8:08:01 AM GMT-3","39","26/07","Feminino","Itu/SP","1.60","64","Biológicas","Sim","9"
"2017/07/26 8:08:29 AM GMT-3","25","29/08","Masculino","Laranjal Paulista","1.82","103","Exatas","Não","10"
"2017/07/26 8:08:36 AM GMT-3","21","11/12","Feminino","São Carlos","1.65","72","Biológicas","Sim","9"
"2017/07/26 8:09:32 AM GMT-3","25","20/07","Masculino","Piracicaba","1.76","65","Interdiciplinar","Não","9"
"2017/07/26 8:09:40 AM GMT-3","27","20/09","Feminino","Umuarama","1.55","50","Biológicas","Não","10"
"2017/07/26 8:10:52 AM GMT-3","20","09/08/1996","Masculino","Irati","1.75","70","Biológicas","Não","9"
"2017/07/26 8:13:18 AM GMT-3","19","20/02","Feminino","Botucatu","1.60","65","Biológicas","Não","9"
"2017/07/26 8:13:34 AM GMT-3","22","21/02/1995","Masculino","São José dos Campos","1.80","75","Biológicas","Não","10"
"2017/07/26 8:44:54 AM GMT-3","28","25/07","Feminino","Porecatu","1.61","74","Biológicas","Não","9"